id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,ar,blue,uv400,antirrisco,polarizado,esferico_min,esferico_max,cilindrico_min,cilindrico_max,adicao_min,adicao_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega
8b4ed408-b1f6-45a4-b00e-6af8212c77e1,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.61 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.61,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3551.0,3551.0,10653.0,ativo,True,True,10
e82151a8-a7e5-40fd-a84f-d4403d6aa254,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3065.0,3065.0,9195.0,ativo,True,True,10
19fc98e7-eb2d-4613-ae83-cdc5bc866163,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk BlueControl,WORKSTYLE V+ Workstyle V+,ocupacional,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-15.0,9.0,-6.0,0.0,1.0,3.5,2741.0,2741.0,8223.0,ativo,True,True,10
803dc889-811f-4424-b33d-9c0a61fd1c28,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.74 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.74,premium,False,False,True,False,nenhum,False,False,True,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,6845.0,6845.0,20535.0,ativo,True,True,10
0ba2c464-3c73-4c50-89df-9d8e33a3519a,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.67 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.67,premium,False,False,True,False,nenhum,False,False,True,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,5333.0,5333.0,15999.0,ativo,True,True,10
030888e7-a3a6-4140-a882-a9293cccdb7e,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.61 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,HIGH_INDEX,1.61,premium,False,False,True,False,nenhum,False,False,True,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3551.0,3551.0,10653.0,ativo,True,True,10
029dce2f-e930-43ac-8749-459a384f1456,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,TRIVEX,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,3065.0,3065.0,9195.0,ativo,True,True,10
50ef3285-ecca-410a-bafa-c96bfb35951f,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA WORKSTYLE V+ Workstyle V+ 1.50 No-Risk,WORKSTYLE V+ Workstyle V+,ocupacional,CR39,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-15.0,9.0,-6.0,0.0,1.0,3.5,2741.0,2741.0,8223.0,ativo,True,True,10
1c8ba666-8966-4838-b2b0-45a5d59ec6d4,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 BlueControl,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,2117.0,2117.0,6351.0,ativo,True,True,10
c9878aa1-9f87-4a96-b2e5-a302935c7986,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 BlueControl,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1793.0,1793.0,5379.0,ativo,True,True,10
9bd1b5fe-bec6-4d55-9822-a5127f0d6334,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 LongLife,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,True,True,False,False,nenhum,True,False,False,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,2117.0,2117.0,6351.0,ativo,True,True,10
032bae22-8ca0-4496-9ee9-193839dde785,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 LongLife,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,True,True,False,False,nenhum,True,False,False,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1793.0,1793.0,5379.0,ativo,True,True,10
f96b1ba0-95fc-4c1e-834f-2a9efbff19b9,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk BlueControl,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1847.0,1847.0,5541.0,ativo,True,True,10
01566e01-6839-41b9-b3a2-9d38fb26d07e,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk BlueControl,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,True,True,True,True,nenhum,True,True,True,True,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1523.0,1523.0,4569.0,ativo,True,True,10
ec5d0837-1e96-4f6f-91ae-769d8e7e94b9,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1847.0,1847.0,5541.0,ativo,True,True,10
635dfc81-6c73-44b8-bdc7-b165ef75edf3,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 No-Risk,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1523.0,1523.0,4569.0,ativo,True,True,10
76357043-f720-4369-a3eb-5b22a259025b,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 CleanExtra,DESKTOP Premium Desktop Premium,ocupacional,TRIVEX,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1469.0,1469.0,4407.0,ativo,True,True,10
c3bcdca8-8d3c-4ace-a0a2-fbb30ad51d5a,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,852e5fb8-8eae-4805-a5cb-a5a1e8638f5c,HOYA DESKTOP Premium Desktop Premium 1.50 CleanExtra,DESKTOP Premium Desktop Premium,ocupacional,CR39,1.50,premium,False,False,False,False,nenhum,False,False,False,False,False,-8.0,6.0,-4.0,0.0,1.0,3.5,1145.0,1145.0,3435.0,ativo,True,True,10
