id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,polarizado,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,adicao_min,adicao_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega
93b26723-66b6-4edd-9de0-d56fb7674c10,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.67 Foto Blue AR (Residual Azul),LT 1.67 Foto Blue AR (Residual Azul),visao_simples,HIGH_INDEX,1.67,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-2.0,-10.0,-2.0,0.0,-2.0,-10.0,-2.0,0.0,0.0,0.0,180.0,180.0,540.0,ativo,True,True,5
605b900d-ffd8-4956-a81c-3dd4bfce5b76,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.67 Foto Blue AR Cil. Ext. (Residual Azul),LT 1.67 Foto Blue AR Cil. Ext. (Residual Azul),visao_simples,HIGH_INDEX,1.67,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-2.0,-10.0,-4.0,-2.25,-2.0,-10.0,-4.0,-2.25,0.0,0.0,210.0,210.0,630.0,ativo,True,True,5
dcb2f9e5-2239-4a89-82cf-bfe66428b808,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.70 Blue AR (Residual Verde) * 1.50,LT 1.70 Blue AR (Residual Verde) *,visao_simples,CR39,1.50,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-3.0,-12.0,-2.0,0.0,-3.0,-12.0,-2.0,0.0,0.0,0.0,175.0,175.0,525.0,ativo,True,True,5
39c36a64-a881-4e9d-b9cd-457f3945df36,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.70 Blue AR (Residual Verde) * 1.50,LT 1.70 Blue AR (Residual Verde) *,visao_simples,CR39,1.50,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-12.5,-18.0,-2.0,0.0,-12.5,-18.0,-2.0,0.0,0.0,0.0,185.0,185.0,555.0,ativo,True,True,5
37b78314-c873-4dbb-a8b6-fefab86a2b8c,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.70 Blue AR (Residual Verde) * 1.50,LT 1.70 Blue AR (Residual Verde) *,visao_simples,CR39,1.50,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-18.25,-24.0,0.0,0.0,-18.25,-24.0,0.0,0.0,0.0,0.0,185.0,185.0,555.0,ativo,True,True,5
737ef94d-b978-463e-a0d9-f91232da86d2,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.74 AR *,LT 1.74 AR *,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-3.0,-14.5,-2.0,0.0,-3.0,-14.5,-2.0,0.0,0.0,0.0,240.0,240.0,720.0,ativo,True,True,5
1601b476-a5f6-4a0b-9e2b-5ef61e486a3d,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.74 AR Cil. Ext. *,LT 1.74 AR Cil. Ext. *,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-3.0,-10.0,-4.0,-2.25,-3.0,-10.0,-4.0,-2.25,0.0,0.0,300.0,300.0,900.0,ativo,True,True,5
cb442efd-0ea5-4d12-ab4e-1a21c257fbce,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.74 Blue AR (Residual Azul) *,LT 1.74 Blue AR (Residual Azul) *,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,-10.0,-3.0,0.0,-6.0,-10.0,-3.0,0.0,0.0,0.0,420.0,420.0,1260.0,ativo,True,True,5
84c9bca2-731a-4fde-b48a-15548acbd03d,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.74 Blue AR Cil. Ext. (Residual Azul) *,LT 1.74 Blue AR Cil. Ext. (Residual Azul) *,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,0.25,6.0,-4.0,0.0,0.25,6.0,-4.0,0.0,0.0,0.0,420.0,420.0,1260.0,ativo,True,True,5
981fc81f-68f2-4c12-b250-91af0a4addea,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,Visão Simples CR (NÃO TINTÁVEL) 1.50,Visão Simples CR (NÃO TINTÁVEL),visao_simples,CR39,1.50,economica,False,False,False,False,nenhum,nenhum,False,False,False,False,False,-6.0,6.0,-4.0,0.0,-6.0,6.0,-4.0,0.0,0.0,0.0,40.0,40.0,254.0,ativo,True,True,5
