id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,polarizado,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega,adicao_min,adicao_max
8ce848de-5c46-46fa-b876-7210d46f0a08,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR 1.59 BLUE,Express POLI AR 1.59 BLUE,visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,48.0,48.0,254.8,ativo,True,True,3,,
4870386f-d7c3-44c2-917a-b2b093a61826,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR 1.59 BLUE CIL EXT,Express POLI AR 1.59 BLUE CIL EXT,visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,6.0,0.0,-4.0,-6.0,6.0,0.0,-4.0,58.0,58.0,255.8,ativo,True,True,3,,
42e74c0d-e49a-4001-8cf2-8e758167dd36,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR FOTO 1.59,Express POLI AR FOTO 1.59,visao_simples,POLICARBONATO,1.59,economica,True,True,True,False,fotocromático,fotocromático,True,False,True,True,False,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,85.0,85.0,258.5,ativo,True,True,3,,
e4d07bb1-2b01-4f75-8a3b-3c5d4b592af9,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR FOTO 1.59 CIL EXT,Express POLI AR FOTO 1.59 CIL EXT,visao_simples,POLICARBONATO,1.59,economica,True,True,True,False,fotocromático,fotocromático,True,False,True,True,False,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,165.0,165.0,495.0,ativo,True,True,3,,
d2f4615a-f2d3-4586-b7df-e3b8c65b70f5,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR 1.59 RANGE AMP,Express POLI AR 1.59 RANGE AMP,visao_simples,POLICARBONATO,1.59,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,65.0,65.0,256.5,ativo,True,True,3,,
5a7f16f9-ca6d-43d4-aab5-61ddc4bcecec,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR 1.59 BLUE RANGE AMP,Express POLI AR 1.59 BLUE RANGE AMP,visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,88.0,88.0,264.0,ativo,True,True,3,,
e789efc3-23b5-4e04-83c7-57e814d04ec9,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR FOTO 1.59 RANGE AMP,Express POLI AR FOTO 1.59 RANGE AMP,visao_simples,POLICARBONATO,1.59,economica,True,True,True,False,fotocromático,fotocromático,True,False,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,145.0,145.0,435.0,ativo,True,True,3,,
e3f6be4b-7caf-4955-8b4e-97986f856e54,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR FOTO BLUE 1.59 RANGE AMP,Express POLI AR FOTO BLUE 1.59 RANGE AMP,visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,185.0,185.0,555.0,ativo,True,True,3,,
0b8cc705-2897-4674-86ca-01963785ef7b,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR 1.59 CIL EXT 70,Express POLI AR 1.59 CIL EXT 70,visao_simples,POLICARBONATO,1.59,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-6.0,6.0,0.0,-4.0,-6.0,6.0,0.0,-4.0,72.0,72.0,257.2,ativo,True,True,3,,
8f5c43ee-75de-4f93-9a75-372ca7574ed5,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR 1.61,Express AI AR 1.61,visao_simples,HIGH_INDEX,1.61,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-11.0,11.0,0.0,-2.0,-11.0,11.0,0.0,-2.0,220.0,220.0,660.0,ativo,True,True,3,,
fe0eaa98-1ac1-485f-bb21-82c0ea437f67,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR 1.61 CIL EXT,Express AI AR 1.61 CIL EXT,visao_simples,HIGH_INDEX,1.61,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-11.0,11.0,0.0,-4.0,-11.0,11.0,0.0,-4.0,220.0,220.0,660.0,ativo,True,True,3,,
1970cb3b-c7bf-450a-8fc4-d373ce96c927,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR 1.61 BLUE,Express AI AR 1.61 BLUE,visao_simples,HIGH_INDEX,1.61,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-11.0,11.0,0.0,-2.0,-11.0,11.0,0.0,-2.0,220.0,220.0,660.0,ativo,True,True,3,,
f542d3e5-40ec-43b1-a621-e654fc3fe544,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO 1.61,Express AI AR FOTO 1.61,visao_simples,HIGH_INDEX,1.61,economica,True,True,True,False,fotocromático,fotocromático,True,False,True,True,False,-11.0,11.0,0.0,-2.0,-11.0,11.0,0.0,-2.0,220.0,220.0,660.0,ativo,True,True,3,,
e9f11bb7-3fe3-4654-a940-dca729277395,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO BLUE 1.61,Express AI AR FOTO BLUE 1.61,visao_simples,HIGH_INDEX,1.61,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-11.0,11.0,0.0,-2.0,-11.0,11.0,0.0,-2.0,220.0,220.0,660.0,ativo,True,True,3,,
842a42b5-f5e7-4e37-b8b5-484a5db35afd,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR,Express AI AR,visao_simples,HIGH_INDEX,1.67,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-10.0,6.0,0.0,-2.0,-10.0,6.0,0.0,-2.0,320.0,320.0,960.0,ativo,True,True,3,,
e1b87334-9b54-4cc8-a544-6bf194a153d6,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR BLUE,Express AI AR BLUE,visao_simples,HIGH_INDEX,1.67,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-10.0,6.0,0.0,-2.0,-10.0,6.0,0.0,-2.0,390.0,390.0,1170.0,ativo,True,True,3,,
7787437b-0a27-45a3-b4d3-c5d39cda0c3d,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO,Express AI AR FOTO,visao_simples,HIGH_INDEX,1.67,economica,True,True,True,False,fotocromático,fotocromático,True,False,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,520.0,520.0,1560.0,ativo,True,True,3,,
e4d81bda-f9cf-4f25-8ac2-9bc9547a73f0,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO BLUE,Express AI AR FOTO BLUE,visao_simples,HIGH_INDEX,1.67,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,590.0,590.0,1770.0,ativo,True,True,3,,
d280f772-36d7-4e87-a8b3-f271006dc06a,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR CIL EXT,Express AI AR CIL EXT,visao_simples,HIGH_INDEX,1.67,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-10.0,6.0,0.0,-4.0,-10.0,6.0,0.0,-4.0,420.0,420.0,1260.0,ativo,True,True,3,,
23277965-1a09-475a-ac93-1cc006630477,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR,Express AI AR,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-10.0,6.0,0.0,-2.0,-10.0,6.0,0.0,-2.0,420.0,420.0,1260.0,ativo,True,True,3,,
632ee438-a83d-412b-a807-1f7531cd50ac,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR BLUE,Express AI AR BLUE,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-10.0,6.0,0.0,-2.0,-10.0,6.0,0.0,-2.0,490.0,490.0,1470.0,ativo,True,True,3,,
388338e9-b3ac-46c8-b125-337d9643413e,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO,Express AI AR FOTO,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,fotocromático,fotocromático,True,False,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,620.0,620.0,1860.0,ativo,True,True,3,,
fe246133-d727-4bdf-809a-dfd8503a655a,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO BLUE,Express AI AR FOTO BLUE,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,690.0,690.0,2070.0,ativo,True,True,3,,
0e4133f2-41ee-4e17-908a-3dd548221de5,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR CIL EXT,Express AI AR CIL EXT,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-10.0,6.0,0.0,-4.0,-10.0,6.0,0.0,-4.0,520.0,520.0,1560.0,ativo,True,True,3,,
997d7cd4-d619-41b6-961e-661e5c2f0132,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR,Express AI AR,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,520.0,520.0,1560.0,ativo,True,True,3,,
221979fb-e4c5-4ecc-8bf9-1951dbeb2f63,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR BLUE,Express AI AR BLUE,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-8.0,6.0,0.0,-2.0,-8.0,6.0,0.0,-2.0,590.0,590.0,1770.0,ativo,True,True,3,,
a3c30ccc-ed87-4a86-9dc5-49f9af4ccd00,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO,Express AI AR FOTO,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,fotocromático,fotocromático,True,False,True,True,False,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,680.0,680.0,2040.0,ativo,True,True,3,,
99bf81ff-8c8f-41a9-a4d1-b93ba9b532df,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR FOTO BLUE,Express AI AR FOTO BLUE,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,750.0,750.0,2250.0,ativo,True,True,3,,
2cf923ec-5cf3-4c8c-b650-60c2b2be776a,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express AI AR CIL EXT,Express AI AR CIL EXT,visao_simples,HIGH_INDEX,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-8.0,6.0,0.0,-4.0,-8.0,6.0,0.0,-4.0,620.0,620.0,1860.0,ativo,True,True,3,,
