id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega,adicao_min,adicao_max
3edc6186-227c-4635-8dd2-1d4349fa35a0,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.50 Transitions Gen.8 com AR (Esférica Estendida),Lente Ac. 1.50 Transitions Gen.8 com AR (Esférica Estendida),visao_simples,CR39,1.50,economica,True,True,False,False,transitions,transitions,True,False,False,True,2.25,4.0,0.0,0.0,2.25,4.0,0.0,0.0,195.0,195.0,585.0,ativo,True,True,7,,
1801dcfc-dd94-4b7d-857a-b8982a701454,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.50 Transitions Gen.8 com AR (Esférica Estendida Negativa),Lente Ac. 1.50 Transitions Gen.8 com AR (Esférica Estendida Negativa),visao_simples,CR39,1.50,economica,True,True,False,False,transitions,transitions,True,False,False,True,-2.25,-4.0,0.0,0.0,-2.25,-4.0,0.0,0.0,195.0,195.0,585.0,ativo,True,True,7,,
12205cf9-2b6a-4bb9-928d-0adbfe12ebf7,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.56 AR Verde,Lente Ac. 1.56 AR Verde,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-4.0,4.0,-4.25,-6.0,-4.0,4.0,-4.25,-6.0,85.0,85.0,258.5,ativo,True,True,7,,
1537c044-01d4-42bf-9d00-b8b9087e7d0d,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.56 Blue AR Verde,Lente Ac. 1.56 Blue AR Verde,visao_simples,CR39,1.56,economica,True,True,False,True,nenhum,nenhum,True,True,False,True,-4.0,4.0,-4.25,-6.0,-4.0,4.0,-4.25,-6.0,98.0,98.0,294.0,ativo,True,True,7,,
204c7c5f-8239-4ecb-8ea9-cacddadcb529,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente 1.56 Ac. com AR Verde,Lente 1.56 Ac. com AR Verde,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-8.0,4.0,0.0,-2.0,-8.0,4.0,0.0,-2.0,26.0,26.0,252.6,ativo,True,True,7,,
10e04e89-980f-4906-839f-437eeb966c9f,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente 1.56 Ac. com AR Verde Cil. Estendido,Lente 1.56 Ac. com AR Verde Cil. Estendido,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-6.0,4.0,-2.25,-4.0,-6.0,4.0,-2.25,-4.0,36.0,36.0,253.6,ativo,True,True,7,,
974bd9c9-72b0-417b-b147-54e34dca841b,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente 1.56 Ac. com AR Azul,Lente 1.56 Ac. com AR Azul,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-8.0,4.0,0.0,-2.0,-8.0,4.0,0.0,-2.0,26.0,26.0,252.6,ativo,True,True,7,,
dd366ac5-3ca9-40da-a6f7-b8e3d89786c1,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente 1.56 Ac. com AR Azul Cil. Estendido,Lente 1.56 Ac. com AR Azul Cil. Estendido,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-6.0,4.0,-2.25,-4.0,-6.0,4.0,-2.25,-4.0,36.0,36.0,253.6,ativo,True,True,7,,
7de68e71-0a33-4907-8059-2b3de9d122f4,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente 1.56 Ac. com AR Verde Super Hidrofóbico,Lente 1.56 Ac. com AR Verde Super Hidrofóbico,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,44.0,44.0,254.4,ativo,True,True,7,,
8e734006-5bd1-4d73-92f9-9161da365fce,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente 1.56 Ac. com AR Verde Super Hidrofóbico Cil. Estendido,Lente 1.56 Ac. com AR Verde Super Hidrofóbico Cil. Estendido,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,-6.0,4.0,-2.25,-4.0,-6.0,4.0,-2.25,-4.0,56.0,56.0,255.6,ativo,True,True,7,,
